q02,q05,count
Female,Doctrate,25
Female,Fixed-term staff,8
Female,Master,10
Female,Permanent staff,27
Female,Postdoc,19
Male,Doctrate,52
Male,Fixed-term staff,17
Male,Master,13
Male,Permanent staff,71
Male,Postdoc,34
