q01,q05,count
20s,Doctrate,62
20s,Master,19
20s,Postdoc,17
30s,Doctrate,17
30s,Fixed-term staff,15
30s,Permanent staff,21
30s,Postdoc,33
40s,Fixed-term staff,8
40s,Permanent staff,26
50s,Permanent staff,27
60s,Permanent staff,19
