q12_diversity,q02,count
Good,Female,25
Good,Male,95
No interest,Female,5
No interest,Male,13
Poor,Female,31
Poor,Male,33
Prefer not to answer,Male,16
Very Good,Female,8
Very Good,Male,28
Very Poor,Female,17
Very Poor,Male,10
