q03_subregional,q02,count
Central Europe,Female,21
Central Europe,Male,27
Eastern Asia,Female,5
Eastern Asia,Male,5
Japan,Female,5
Japan,Male,48
North America,Female,14
North America,Male,30
North Europe,Female,6
North Europe,Male,10
South America,Male,5
South Europe,Female,10
South Europe,Male,23
South-Eastern Asia,Male,5
West Europe,Female,14
West Europe,Male,23
