q01,q06,count
20s,CRD: Cosmic-ray physics (Direct),8
20s,CRI: Cosmic-ray physics (Indirect),29
20s,DM: Dark-matter physics,8
20s,GA: Gamma-ray astronomy,22
20s,MM&GW: Multimessenger & gravitational wave,14
20s,NU: Neutrino astronomy & physics,22
30s,CRD: Cosmic-ray physics (Direct),11
30s,CRI: Cosmic-ray physics (Indirect),21
30s,DM: Dark-matter physics,6
30s,GA: Gamma-ray astronomy,24
30s,MM&GW: Multimessenger & gravitational wave,8
30s,NU: Neutrino astronomy & physics,13
40s,CRI: Cosmic-ray physics (Indirect),15
40s,GA: Gamma-ray astronomy,7
40s,NU: Neutrino astronomy & physics,5
40s,SH: Solar & heliospheric physics,5
50s,CRI: Cosmic-ray physics (Indirect),11
50s,GA: Gamma-ray astronomy,5
60s,CRI: Cosmic-ray physics (Indirect),5
60s,NU: Neutrino astronomy & physics,5
