q12_equity,q02,count
Good,Female,41
Good,Male,106
No interest,Female,5
No interest,Male,9
Poor,Female,23
Poor,Male,18
Prefer not to answer,Male,19
Very Good,Female,9
Very Good,Male,36
Very Poor,Female,8
Very Poor,Male,7
