q08,q02,count
1 - 3 years,Female,20
1 - 3 years,Male,36
3 - 5 years,Female,23
3 - 5 years,Male,37
5 - 10 yeas,Female,17
5 - 10 yeas,Male,37
> 10 years,Female,25
> 10 years,Male,81
