q14,q02,count
Good,Female,23
Good,Male,69
No interest,Female,5
No interest,Male,10
Poor,Female,40
Poor,Male,60
Prefer not to answer,Male,8
Very Good,Female,10
Very Good,Male,13
Very Poor,Female,11
Very Poor,Male,35
