q06,q02,count
CRD: Cosmic-ray physics (Direct),Female,9
CRD: Cosmic-ray physics (Direct),Male,17
CRI: Cosmic-ray physics (Indirect),Female,18
CRI: Cosmic-ray physics (Indirect),Male,62
DM: Dark-matter physics,Female,9
DM: Dark-matter physics,Male,7
GA: Gamma-ray astronomy,Female,17
GA: Gamma-ray astronomy,Male,45
MM&GW: Multimessenger & gravitational wave,Female,10
MM&GW: Multimessenger & gravitational wave,Male,15
NU: Neutrino astronomy & physics,Female,16
NU: Neutrino astronomy & physics,Male,32
SH: Solar & heliospheric physics,Female,5
SH: Solar & heliospheric physics,Male,14
