q05,q02,count
Doctrate,Female,25
Doctrate,Male,52
Fixed-term staff,Female,8
Fixed-term staff,Male,17
Master,Female,10
Master,Male,13
Permanent staff,Female,27
Permanent staff,Male,71
Postdoc,Female,19
Postdoc,Male,34
