q17_genderbalance,q02,count
Agree,Female,75
Agree,Male,147
Agree,Non-binary,5
Disagree,Female,5
Disagree,Male,12
No interest,Female,5
No interest,Male,20
Prefer not to answer,Female,5
Prefer not to answer,Male,16
