q13_binned,q02,count
0%,Female,6
0%,Male,27
10%,Female,6
10%,Male,23
15%,Male,11
20%,Female,20
20%,Male,34
25%,Female,13
25%,Male,13
30%,Female,14
30%,Male,32
35%,Male,5
40%,Female,8
40%,Male,16
50%,Female,5
50%,Male,18
Prefer not to answer,Male,6
