q06,count
CRD: Cosmic-ray physics (Direct),26
CRI: Cosmic-ray physics (Indirect),83
DM: Dark-matter physics,18
GA: Gamma-ray astronomy,62
MM&GW: Multimessenger & gravitational wave,27
NU: Neutrino astronomy & physics,50
O&E: Outreach & education,5
Prefer not to answer,5
SH: Solar & heliospheric physics,19
